zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
94903,San Rafael Airport,San Rafael,CA,38.0168,-122.521,West,Marin County,,
80017,Buckley Space Force Base,Aurora,CO,39.7078055,-104.758286,Mountain,Arapahoe County,,
06512,Tweed New Haven Airport,New Haven,CT,41.2624331,-72.8849201,Northeast,South Central Connecticut Planning Region,,
19947,Delaware Coastal Airport,Georgetown,DE,38.6898564,-75.3600455,Mid-Atlantic,Sussex County,,
33050,Florida Keys Marathon International Airport,Marathon,FL,24.7258703,-81.0512195,Southeast,Monroe County,,
30577,Toccoa Airport,Toccoa,GA,34.5940072,-83.2960204,Southeast,Stephens County,,
96761,Kapalua-West Maui Airport,Lahaina,HI,20.9633131,-156.6730247,Pacific,,,
51442,Denison Municipal Airport,Denison,IA,41.9879458,-95.3816277,Midwest,Crawford County,,
83402,Idaho Falls Regional Airport,Idaho Falls,ID,43.5121921,-112.0737738,Mountain,Bonneville County,,
60554,Aurora Municipal Airport,Sugar Grove,IL,41.7738171,-88.4723089,Midwest,Kane County,,
46947,Logansport/Cass County Airport,Logansport,IN,40.7098754,-86.3761925,Midwest,Cass County,,
67221,Cessna Aircraft Airport,Wichita,KS,37.6487,-97.2504,Midwest,Sedgwick County,,
40601,Capital City Airport,Frankfort,KY,38.1820184,-84.9047025,Southeast,Franklin County,,
71303,Alexandria International Airport,Alexandria,LA,31.3296881,-92.5487135,South Central,Rapides Parish,,
02128,Boston Harbor Seaplane Base (Cape Air Seaplanes),Boston,MA,42.361055,-71.0283123,Northeast,Suffolk County,,
21409,Annapolis Seaplane Base,Hidden Point,MD,38.9991989,-76.4560013,Mid-Atlantic,Anne Arundel County,,
04468,Dewitt Field,Old Town,ME,44.9516888,-68.6741971,Northeast,Penobscot County,,
49015,W. K. Kellogg Regional Airport,Battle Creek,MI,42.3073,-85.2484924,Midwest,Calhoun County,,
55604,Grand Marais-Cook County Airport,West Cook,MN,47.8379461,-90.3831603,Midwest,Cook County,,
64730,Butler Memorial Airport,Butler,MO,38.2891891,-94.3405057,Midwest,Bates County,,
38654,Olive Branch Airport,Olive Branch,MS,34.9785229,-89.7875203,Southeast,DeSoto County,,
59254,Sher-Wood Airport,Plentywood,MT,48.7886728,-104.526672,Mountain,Sheridan County,,
28677,Statesville Regional Airport,Statesville,NC,35.7643407,-80.9511955,Southeast,Iredell County,,
58504,Bismarck Municipal Airport,Bismarck,ND,46.7729572,-100.7459042,Midwest,Burleigh County,,
68602,Columbus Municipal Airport,Columbus,NE,41.4440288,-97.3403231,Midwest,Platte County,,
03249,Laconia Municipal Airport,Gilford,NH,43.5747376,-71.4173032,Northeast,Belknap County,,
07727,Monmouth Executive Airport,Wall Township,NJ,40.1855136,-74.1222892,Mid-Atlantic,Monmouth County,,
88244,Industrial Airpark,Hobbs,NM,32.7625952,-103.213031,Southwest,Lea County,,
89183,Henderson Executive Airport,Henderson,NV,35.9744291,-115.1365289,West,Clark County,,
13339,Di Stefano Airpark,Village of Fort Plain,NY,42.9232958,-74.6268449,Mid-Atlantic,Montgomery County,,
45226,Lunken Airport,Cincinnati,OH,39.1004682,-84.419688,Midwest,Hamilton County,,
74023,Cushing Municipal Airport,Cushing,OK,35.9498558,-96.7743467,South Central,Payne County,,
97741,Madras Municipal Airport,Madras,OR,44.6675273,-121.1521307,West,Jefferson County,,
19435,Drewniany-Springmeadow Airport,Frederick,PA,40.3047951,-75.5329957,Mid-Atlantic,,,
02802,North Central State Airport,Smithfield,RI,41.9220549,-71.4917528,Northeast,Providence County,,
29907,Beaufort Executive Airport,Beaufort,SC,32.4114301,-80.6345367,Southeast,Beaufort County,,
57601,Mobridge Municipal Airport,Mobridge,SD,45.5463306,-100.4089297,Midwest,Walworth County,,
37375,Franklin County Airport,Sewanee,TN,35.2047567,-85.8995529,Southeast,Franklin County,,
76943,Ozona Municipal Airport,Ozona,TX,30.7318279,-101.2039972,South Central,Crockett County,,
84087,Sky Park Airport,Woods Cross,UT,40.868386,-111.9273117,Mountain,Davis County,,
22448,Naval Support Facility Dahlgren,Dahlgren Center,VA,38.3324701,-77.0372541,Mid-Atlantic,King George County,,
05855,Northeast Kingdom International Airport,Coventry,VT,44.8871543,-72.2270841,Northeast,Orleans County,,
98061,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,WA,47.7341171,-122.648084,West,Kitsap County,,
54618,Volk Field,Town of Orange,WI,43.9385501,-90.255398,Midwest,Juneau County,,
43947,Glendale Fokker Field,Glen Dale,WV,39.9502553,-80.7593715,Mid-Atlantic,Marshall County,,
82520,Hunt Field,Lander,WY,42.8156248,-108.7287457,Mountain,Fremont County,,
99727,Buckland Airport,Buckland,AK,65.9815616,-161.1492319,Alaska,Northwest Arctic Borough,,
36027,Weedon Field,Eufaula,AL,31.949066,-85.1283625,Southeast,Barbour County,,
71601,Grider Field,Pine Bluff,AR,34.1744743,-91.9366952,South Central,Jefferson County,,
86005,Flagstaff Pulliam Airport,Flagstaff,AZ,35.1403096,-111.6692488,Southwest,Coconino County,,
92135,North Island Naval Air Station,Coronado,CA,32.6991997,-117.214996,West,San Diego County,,
80021,Rocky Mountain Metropolitan Airport,Broomfield,CO,39.914579,-105.1295243,Mountain,,,
06615,Igor I. Sikorsky Memorial Airport,Stratford,CT,41.1626737,-73.126933,Northeast,,,
19720,New Castle County Airport,Hares Corner,DE,39.67948,-75.6085887,Mid-Atlantic,New Castle County,,
32168,New Smyrna Beach Municipal Airport,New Smyrna Beach,FL,29.0556761,-80.948541,Southeast,,,
30904,Daniel Field,Augusta,GA,33.4652705,-82.0408743,Southeast,Richmond County,,
96743,Waimea-Kohala Airport,Kamuela,HI,20.0013534,-155.6683473,Pacific,,,
