zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
10919,Fair Oaks Drive-In,Fair Oaks,NY,41.5259559,-74.4184394,Mid-Atlantic,Orange County,,
03246,Weirs Drive-In Theater,Laconia,NH,43.6026416,-71.4583991,Northeast,Belknap County,,
56156,Verne Drive-In Theatre,Luverne,MN,43.6326458,-96.2114388,Midwest,Rock County,,
94520,West Wind Solano Drive In,Concord,CA,38.000086,-122.049784,West,Contra Costa County,,
61401,Drive-In Theater,Galesburg,IL,40.9487068,-90.4186073,Midwest,Knox County,,
83660,Parma Drive-In,Parma,ID,43.8001393,-116.9511055,Mountain,Canyon County,,
73139,Winchester Drive In,Oklahoma City,OK,35.3957684,-97.5272251,South Central,Oklahoma County,,
44266,Midway Twin Drive-In Theatre,Ravenna Township,OH,41.1569831,-81.2950831,Midwest,Portage County,,
37190,Moonlight Drive-In,Woodbury,TN,35.8239818,-86.0840385,Southeast,Cannon County,,
06250,Mansfield Drive-In Theatre,Mansfield,CT,41.7412536,-72.2580639,Northeast,Capitol Planning Region,,
17058,Midway Drive-in Theatre,Mifflintown,PA,40.5979193,-77.4191254,Mid-Atlantic,Juniata County,,
43616,Sundance Drive-In,Oregon,OH,41.6356991,-83.4392778,Midwest,,,
43326,Hi-Road Drive-In,Kenton,OH,40.7028932,-83.6211148,Midwest,Hardin County,,
06479,Southington Drive-In,Southington,CT,41.5658358,-72.8800423,Northeast,,,
64759,Barco Drive-In,Lamar,MO,37.4911241,-94.2535578,Midwest,Barton County,,
64836,66 Drive-In Theatre,Carthage,MO,37.1743565,-94.3688849,Midwest,Jasper County,,
42501,27 Twins Drive-In Theatre,Somerset,KY,37.0191934,-84.6254486,Southeast,,,
29646,25 Drive In,Greenwood,SC,34.14197,-82.1313038,Southeast,Greenwood County,,
48507,US 23 Drive-in Theater,Flint,MI,42.9537054,-83.69456,Midwest,,,
60050,McHenry Outdoor Theatre,McHenry,IL,42.3493247,-88.2363812,Midwest,,,
49444,Getty Drive-In,Muskegon,MI,43.1965454,-86.2209679,Midwest,,,
49640,Cherry Bowl Drive-In Theater,Honor,MI,44.6688681,-86.0422224,Midwest,Benzie County,,
85301,West Wind Glendale 9 Drive In & Public Market,Glendale,AZ,33.5203471,-112.1797131,Southwest,,,
15108,Dependable Drive-In,Moon Township,PA,40.5112582,-80.254322,Mid-Atlantic,,,
27536,Raleigh Road Outdoor Theatre,Henderson,NC,36.2864992,-78.4064348,Southeast,Vance County,,
49840,Highway 2 Community Drive-In Theater,Manistique Township,MI,45.9677605,-86.1725876,Midwest,Schoolcraft County,,
35611,Cinemagic Theatre,Athens,AL,34.7870311,-86.9731014,Southeast,,,
98277,Blue Fox Drive-In Theater,Oak Harbor,WA,48.2619946,-122.6829193,West,,,
98312,Rodeo Drive-In,Bremerton,WA,47.5074866,-122.7504837,West,,,
68756,TK-Starlite Drive-In,Neligh,NE,42.1170535,-98.0152525,Midwest,Antelope County,,
01652,Drive-In Theater,Leicester,MA,42.2478999,-71.9425557,Northeast,Worcester County,,
44906,Springmill Drive-In Theater,Mansfield,OH,40.7890127,-82.5564212,Midwest,,,
81401,The Star Drive-In,Montrose,CO,38.4809246,-107.8607559,Mountain,,,
17868,Point Drive-In,Point Township,PA,40.9510085,-76.6733693,Mid-Atlantic,Northumberland County,,
38852,Iuka Drive-in,Iuka,MS,34.8073211,-88.2056788,Southeast,,,
37091,Hi-Way 50 Drive In,Lewisburg,TN,35.4375342,-86.744954,Southeast,Marshall County,,
80022,88 Drive In Theatre,Commerce City,CO,39.8552148,-104.8986604,Mountain,,,
13607,Bay Drive-In Theatre,Alexandria Bay,NY,44.3209554,-75.9050038,Mid-Atlantic,,,
97850,La Grande Drive In,La Grande,OR,45.3148855,-118.0774786,West,Union County,,
89431,West Wind El Rancho Drive-In 4,Sparks,NV,39.5397971,-119.777406,West,,,
24354,Park Place Drive-In,Marion,VA,36.8468395,-81.5035209,Mid-Atlantic,Smyth County,,
43130,Skyview Cruise-In Theater,Lancaster,OH,39.7176175,-82.5412922,Midwest,Fairfield County,,
12065,Malta Drive-In Theatre,Malta,NY,43.0037839,-73.7875497,Mid-Atlantic,Saratoga County,,
81006,Mesa Drive-In,Blende,CO,38.2436967,-104.5642361,Mountain,Pueblo County,,
92509,Rubidoux Drive In Theatre & Swap Meet,Riverside,CA,34.0067233,-117.4231679,West,,,
95827,West Wind Sacramento 6 Drive-In,Sacramento,CA,38.5667785,-121.3393293,West,,,
64055,B&B Theatres Twin Drive-In,Independence,MO,39.1275585,-94.3881992,Midwest,,,
60936,Harvest Moon Twin Drive-in,Gibson City,IL,40.4516766,-88.3769298,Midwest,Ford County,,
05446,Sunset Drive-In,Colchester,VT,44.5368967,-73.2515221,Northeast,,,
15701,Palace Gardens Drive-In,Indiana,PA,40.5956311,-79.154048,Mid-Atlantic,,,
62056,Litchfield Sky View Drive-In Theatre,Litchfield,IL,39.185349,-89.6629941,Midwest,Montgomery County,,
15641,Riverside Drive-in Theater,Parks Township,PA,40.612634,-79.5825282,Mid-Atlantic,Armstrong County,,
05032,Bethel Drive In,Bethel,VT,43.868981,-72.6426131,Northeast,Windsor County,,
57601,Pheasant Drive-In,Mobridge,SD,45.5529478,-100.4570773,Midwest,Walworth County,,
56347,Long Drive-In Theater,Long Prairie,MN,45.981725,-94.8691575,Midwest,Todd County,,
44099,Mayfield Road Drive In Theater,Munson Township,OH,41.5297609,-81.2047228,Midwest,Geauga County,,
30513,Swan Drive-in,Blue Ridge,GA,34.8581646,-84.3251739,Southeast,Fannin County,,
